# wind, noise_var, data
0.01, 0.0005441682105820554, 17.628445
0.01, 0.05441682105820554, 20.891067
0.01, 0.3401051316137846, 31.496989
0.01, 5.441682105820553, 90.380817
0.03, 0.0005441682105820554, 42.592837
0.03, 0.05441682105820554, 44.043438
0.03, 0.3401051316137846, 49.954460
0.03, 5.441682105820553, 98.346733
0.05, 0.0005441682105820554, 63.922694
0.05, 0.05441682105820554, 64.898270
0.05, 0.3401051316137846, 69.046427
0.05, 5.441682105820553, 109.288796
0.08, 0.0005441682105820554, 92.513648
0.08, 0.05441682105820554, 93.190394
0.08, 0.3401051316137846, 96.125300
0.08, 5.441682105820553, 128.127691
